131.00	496.80	249.39
1381.00	468.63	246.87
1543.00	518.93	241.29
1840.00	506.03	244.48
2918.00	456.47	244.59
3412.00	514.38	243.18
3557.00	571.48	249.30
3605.00	466.08	247.27
3824.00	503.58	238.77
4103.00	481.92	238.08
4150.00	485.07	248.85
4286.00	447.42	248.59
4352.00	461.47	247.28
4559.00	472.26	247.33
4862.00	497.51	241.46
5107.00	551.67	245.98
5694.00	523.18	243.34
6293.00	538.24	240.59
6526.00	506.41	246.04
7141.00	551.41	245.06
8098.00	504.23	248.61
8304.00	437.79	232.64
8689.00	561.96	248.77
8829.00	548.81	245.61
8987.00	494.37	249.81
9089.00	498.06	247.12
9225.00	492.44	248.42
9433.00	509.43	248.47
9913.00	508.62	244.13
